locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSG00000000003,TSPAN6,7,"457,456,452,455,454,453,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000000005,TNMD,7,"348,457,456,452,453,454,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000000419,DPM1,8,"348,453,452,459,456,457,454,455","NE,NE,NE,E,E,NE,NE,NE",Conditional
ENSG00000000457,SCYL3,7,"457,348,456,455,453,454,452","NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000000460,C1orf112,7,"456,348,454,452,453,457,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000000938,FGR,7,"455,452,456,348,457,454,453","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000000971,CFH,7,"453,456,454,455,348,452,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000001036,FUCA2,7,"457,456,452,455,453,348,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000001084,GCLC,7,"457,456,452,348,453,454,455","NE,E,E,NE,E,E,NE",Conditional
ENSG00000001167,NFYA,8,"452,455,456,459,457,454,453,348","NE,E,NE,E,E,NE,E,NE",Conditional
ENSG00000001460,C1orf201,7,"348,455,454,452,457,456,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000001461,NIPAL3,7,"454,457,455,348,452,456,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000001497,LAS1L,10,"453,459,457,454,455,456,348,450,451,452","E,E,E,E,E,E,NE,E,E,E",Conditional
ENSG00000001561,ENPP4,8,"452,348,453,457,456,455,454,451","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000001617,SEMA3F,7,"456,452,457,453,348,455,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000001626,CFTR,7,"455,454,452,456,457,453,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000001629,ANKIB1,7,"348,457,454,453,452,455,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000001630,CYP51A1,8,"456,457,348,452,459,455,454,453","NE,NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000001631,KRIT1,7,"453,452,456,348,454,457,455","NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000002016,RAD52,8,"455,456,450,348,452,457,454,453","NE,NE,E,NE,NE,NE,NE,NE",Conditional
ENSG00000002330,BAD,7,"454,456,452,453,455,457,348","NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000002549,LAP3,7,"455,456,454,453,452,457,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000002586,CD99,7,"453,455,348,454,456,457,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000002587,HS3ST1,7,"452,455,453,348,454,457,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000002726,ABP1,7,"452,348,455,454,453,456,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000002745,WNT16,7,"456,455,454,452,348,457,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000002746,HECW1,7,"455,454,457,456,452,453,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000002822,MAD1L1,7,"348,454,456,452,455,453,457","E,NE,NE,NE,NE,NE,NE",Conditional
ENSG00000002834,LASP1,7,"457,452,456,348,454,455,453","NE,NE,NE,E,NE,NE,NE",Conditional
ENSG00000002919,SNX11,7,"348,452,453,454,457,456,455","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000002933,TMEM176A,7,"455,457,452,454,453,456,348","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000003056,M6PR,7,"452,455,453,348,457,456,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000003096,KLHL13,4,"454,455,452,456","NE,NE,NE,NE",Nonessential
ENSG00000003137,CYP26B1,8,"456,455,454,348,453,457,452,459","NE,NE,NE,NE,NE,NE,NE,E",Conditional
ENSG00000003147,ICA1,7,"453,455,452,456,454,348,457","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000003249,DBNDD1,7,"457,456,455,453,452,348,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000003393,ALS2,7,"453,456,457,455,348,452,454","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000003400,CASP10,7,"455,453,454,457,456,348,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000003402,CFLAR,8,"457,456,455,454,453,452,447,348","NE,NE,NE,NE,E,NE,E,NE",Conditional
ENSG00000003436,TFPI,7,"348,454,452,457,455,453,456","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000003509,C2orf56,7,"456,455,452,454,457,453,348","NE,NE,E,NE,E,NE,NE",Conditional
ENSG00000003756,RBM5,7,"348,455,456,452,454,453,457","NE,NE,NE,E,NE,NE,E",Conditional
ENSG00000003987,MTMR7,7,"456,348,455,457,454,453,452","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000003989,SLC7A2,7,"452,456,454,455,348,457,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
ENSG00000004059,ARF5,8,"454,452,455,457,456,459,453,348","NE,NE,NE,NE,NE,E,NE,NE",Conditional
ENSG00000004139,TMEM199,3,"348,453,457","NE,NE,NE",Nonessential
ENSG00000004399,PLXND1,7,"457,456,452,455,454,348,453","NE,NE,NE,NE,NE,NE,NE",Nonessential
